City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2022-05-25 20:13:49,-46.2817,169.8464,40.03,82,96,7.92
1,Conceicao Do Araguaia,BR,2022-05-25 20:13:49,-8.2578,-49.2647,84.92,56,4,2.46
2,Awjilah,LY,2022-05-25 20:13:49,29.1081,21.2869,88.27,9,0,9.31
3,Carnarvon,AU,2022-05-25 20:13:50,-24.8667,113.6333,71.24,65,100,8.79
4,Port Alfred,ZA,2022-05-25 20:13:42,-33.5906,26.891,62.19,82,0,7.0
5,Puerto Ayora,EC,2022-05-25 20:13:50,-0.7393,-90.3518,76.96,90,67,5.99
6,Kodiak,US,2022-05-25 20:13:28,57.79,-152.4072,51.31,71,100,8.05
7,Kholodnyy,RU,2022-05-25 20:13:50,62.7167,147.95,35.51,83,98,2.73
8,Bengkulu,ID,2022-05-25 20:13:51,-3.8004,102.2655,74.21,87,100,4.97
9,Albany,US,2022-05-25 20:09:23,42.6001,-73.9662,76.44,47,99,5.66
10,Butaritari,KI,2022-05-25 20:13:51,3.0707,172.7902,81.73,75,100,19.22
11,Rikitea,PF,2022-05-25 20:13:51,-23.1203,-134.9692,75.0,76,21,6.53
12,Busselton,AU,2022-05-25 20:13:25,-33.65,115.3333,53.85,85,0,4.76
13,Alofi,NU,2022-05-25 20:13:51,-19.0595,-169.9187,78.69,83,40,8.05
14,Avarua,CK,2022-05-25 20:13:41,-21.2078,-159.775,80.65,78,10,5.75
15,Hirara,JP,2022-05-25 20:13:52,24.8,125.2833,75.18,91,100,4.36
16,San Patricio,US,2022-05-25 20:13:35,28.017,-97.5169,87.69,69,99,15.08
17,Bombay,IN,2022-05-25 20:10:19,19.0144,72.8479,85.98,74,40,10.36
18,Jamestown,US,2022-05-25 20:13:08,42.097,-79.2353,75.02,54,20,11.01
19,Ushuaia,AR,2022-05-25 20:10:14,-54.8,-68.3,44.22,81,40,37.98
20,Khatanga,RU,2022-05-25 20:13:52,71.9667,102.5,27.36,91,71,4.92
21,Punta Arenas,CL,2022-05-25 20:10:47,-53.15,-70.9167,44.62,75,20,17.27
22,Superior,US,2022-05-25 20:12:39,46.7208,-92.1041,51.48,93,100,28.77
23,New Norfolk,AU,2022-05-25 20:13:53,-42.7826,147.0587,45.91,88,10,2.82
24,Ajdabiya,LY,2022-05-25 20:13:53,30.7554,20.2263,83.84,17,0,10.27
25,Te Anau,NZ,2022-05-25 20:13:53,-45.4167,167.7167,35.02,92,15,2.48
26,Namatanai,PG,2022-05-25 20:13:53,-3.6667,152.4333,78.39,80,100,4.41
27,Kiama,AU,2022-05-25 20:13:54,-34.6833,150.8667,52.45,94,100,4.34
28,Lavrentiya,RU,2022-05-25 20:12:22,65.5833,-171.0,39.42,85,100,6.98
29,Mount Gambier,AU,2022-05-25 20:13:54,-37.8333,140.7667,55.31,94,75,10.36
30,Visnes,NO,2022-05-25 20:13:54,59.3556,5.2242,51.22,93,75,11.5
31,Luderitz,Namibia,2022-05-25 20:13:55,-26.6481,15.1594,57.42,84,7,7.18
32,Yellowknife,CA,2022-05-25 20:13:55,62.456,-114.3525,55.56,30,16,5.99
33,Hobart,AU,2022-05-25 20:12:47,-42.8794,147.3294,46.26,93,7,5.75
34,Parainen,FI,2022-05-25 20:13:55,60.3067,22.301,52.36,99,100,7.07
35,Altay,CN,2022-05-25 20:13:55,47.8667,88.1167,76.91,25,100,3.13
36,Ziro,IN,2022-05-25 20:13:56,27.6333,93.8333,56.39,90,94,1.9
37,Porto Belo,BR,2022-05-25 20:13:56,-27.1578,-48.5531,72.79,86,0,6.38
38,Khandyga,RU,2022-05-25 20:13:56,62.6667,135.6,34.83,82,93,2.3
39,Klaksvik,FO,2022-05-25 20:13:57,62.2266,-6.589,47.32,78,40,17.78
40,Longyearbyen,SJ,2022-05-25 20:13:23,78.2186,15.6401,42.64,81,75,4.61
41,Ust-Nera,RU,2022-05-25 20:13:57,64.5667,143.2,40.39,83,100,5.93
42,Nikolskoye,RU,2022-05-25 20:13:57,59.7035,30.7861,51.69,66,65,4.81
43,Olesno,PL,2022-05-25 20:13:57,50.877,18.4209,50.5,98,13,7.2
44,Sao Filipe,CV,2022-05-25 20:13:58,14.8961,-24.4956,72.32,75,0,11.86
45,Ferrol,ES,2022-05-25 20:13:58,43.4832,-8.2369,61.32,85,13,8.59
46,Atuona,PF,2022-05-25 20:14:58,-9.8,-139.0333,78.26,77,18,18.45
47,Caravelas,BR,2022-05-25 20:14:58,-17.7125,-39.2481,70.93,87,0,7.99
48,Sao Francisco,BR,2022-05-25 20:14:59,-15.9486,-44.8644,81.59,31,0,6.85
49,Barrow,US,2022-05-25 20:14:59,71.2906,-156.7887,33.82,86,20,17.27
50,Chokurdakh,RU,2022-05-25 20:14:59,70.6333,147.9167,29.37,88,90,8.28
51,Harrisonburg,US,2022-05-25 20:11:48,38.4496,-78.8689,66.61,75,100,6.91
52,Hithadhoo,MV,2022-05-25 20:11:48,-0.6,73.0833,83.34,65,100,3.87
53,Erenhot,CN,2022-05-25 20:15:00,43.6475,111.9767,60.04,19,53,9.95
54,Hermanus,ZA,2022-05-25 20:15:00,-34.4187,19.2345,59.81,86,70,5.93
55,Saint-Joseph,RE,2022-05-25 20:15:00,-21.3667,55.6167,68.38,80,27,3.18
56,Tiznit,MA,2022-05-25 20:15:00,29.5833,-9.5,66.52,63,100,2.75
57,Cimislia,MD,2022-05-25 20:15:01,46.52,28.7842,62.74,60,80,18.19
58,Dali,CN,2022-05-25 20:15:01,25.7,100.1833,64.24,90,98,5.12
59,Vardo,NO,2022-05-25 20:15:01,70.3705,31.1107,40.98,81,0,11.5
60,Tual,ID,2022-05-25 20:15:02,-5.6667,132.75,81.32,79,99,5.14
61,Kaman,IN,2022-05-25 20:15:02,27.65,77.2667,86.32,36,0,2.84
62,Pahrump,US,2022-05-25 20:15:02,36.2083,-115.9839,95.52,7,0,3.0
63,Rio Gallegos,AR,2022-05-25 20:15:03,-51.6226,-69.2181,46.45,57,0,28.77
64,Kloulklubed,PW,2022-05-25 20:15:03,7.0419,134.2556,78.26,85,100,12.77
65,Chuy,UY,2022-05-25 20:15:03,-33.6971,-53.4616,59.76,98,100,6.78
66,Pasil,PH,2022-05-25 20:15:03,17.3833,121.1333,65.77,96,77,1.63
67,Kincardine,GB,2022-05-25 20:15:04,56.0667,-3.7167,52.52,75,8,13.85
68,Mataura,NZ,2022-05-25 20:15:04,-46.1927,168.8643,40.48,97,21,2.57
69,Tutoia,BR,2022-05-25 20:15:04,-2.7619,-42.2744,80.38,84,3,6.85
70,Ishigaki,JP,2022-05-25 20:15:05,24.3448,124.1572,77.13,100,75,4.61
71,Kindia,GN,2022-05-25 20:15:05,10.0569,-12.8658,73.15,88,100,3.98
72,Hilo,US,2022-05-25 20:10:30,19.7297,-155.09,88.29,71,75,4.61
73,Najran,SA,2022-05-25 20:15:05,17.4924,44.1277,78.19,18,4,2.91
74,Kefamenanu,ID,2022-05-25 20:15:06,-9.4467,124.4781,71.33,96,96,2.84
75,Linkuva,LT,2022-05-25 20:15:06,56.0856,23.9725,52.47,95,100,12.26
76,Vaini,TO,2022-05-25 20:15:06,-21.2,-175.2,75.36,88,40,5.75
77,Menongue,AO,2022-05-25 20:15:06,-14.6585,17.691,53.71,46,0,3.76
78,Nizwa,OM,2022-05-25 20:15:07,22.9333,57.5333,89.37,21,0,5.84
79,Cape Town,ZA,2022-05-25 20:10:19,-33.9258,18.4232,61.12,94,75,4.0
80,West Wendover,US,2022-05-25 20:15:07,40.7391,-114.0733,74.41,17,0,13.8
81,Athabasca,CA,2022-05-25 20:15:07,54.7169,-113.2854,64.81,50,48,2.13
82,Sorland,NO,2022-05-25 20:15:08,67.667,12.6934,48.06,88,96,21.05
83,Georgetown,MY,2022-05-25 20:14:47,5.4112,100.3354,80.53,83,20,0.0
84,Weligama,LK,2022-05-25 20:15:08,5.9667,80.4167,78.39,89,100,7.49
85,Barkhan,PK,2022-05-25 20:15:08,29.8977,69.5256,78.89,23,0,6.49
86,Kapaa,US,2022-05-25 20:15:09,22.0752,-159.319,79.48,73,40,11.5
87,San Carlos De Bariloche,AR,2022-05-25 20:10:14,-41.1456,-71.3082,38.95,56,20,2.3
88,Arraial Do Cabo,BR,2022-05-25 20:15:09,-22.9661,-42.0278,75.06,69,0,17.27
89,Barcelos,PT,2022-05-25 20:13:23,41.5388,-8.6151,67.84,80,38,7.63
90,Petropavlovsk-Kamchatskiy,RU,2022-05-25 20:15:10,53.0452,158.6483,37.99,100,100,6.71
91,Ilulissat,GL,2022-05-25 20:10:49,69.2167,-51.1,39.22,41,40,11.5
92,Riyadh,SA,2022-05-25 20:13:30,24.6877,46.7219,87.94,17,0,10.04
93,Saint-Philippe,RE,2022-05-25 20:16:10,-21.3585,55.7679,69.39,76,13,3.0
94,The Valley,AI,2022-05-25 20:16:10,18.217,-63.0578,84.06,65,40,13.8
95,Sept-Iles,CA,2022-05-25 20:16:11,50.2001,-66.3821,66.72,37,75,10.36
96,Jumla,NP,2022-05-25 20:16:11,29.2747,82.1838,47.79,84,75,3.47
97,Cabra,ES,2022-05-25 20:16:12,37.4725,-4.4421,64.89,31,18,6.15
98,Dingle,PH,2022-05-25 20:16:12,10.9995,122.6711,78.17,87,98,2.68
99,Sorsk,RU,2022-05-25 20:16:12,54.0033,90.2467,53.87,69,10,5.14
100,Tuktoyaktuk,CA,2022-05-25 20:16:13,69.4541,-133.0374,30.2,86,75,6.91
101,Saint-Pierre,RE,2022-05-25 20:16:13,-21.3393,55.4781,69.48,78,0,5.75
102,Sao Joao Da Barra,BR,2022-05-25 20:16:13,-21.6403,-41.0511,77.09,72,0,9.69
103,Kapit,MY,2022-05-25 20:16:14,2.0167,112.9333,72.95,100,100,1.23
104,Guerrero Negro,MX,2022-05-25 20:16:08,27.9769,-114.0611,76.68,43,0,10.25
105,Sakakah,SA,2022-05-25 20:16:14,29.9697,40.2064,87.37,14,0,9.98
106,Dicabisagan,PH,2022-05-25 20:16:14,17.0818,122.4157,79.18,85,100,4.61
107,Plettenberg Bay,ZA,2022-05-25 20:16:15,-34.0527,23.3716,60.42,83,65,8.12
108,Ixtapa,MX,2022-05-25 20:16:15,20.7,-105.2,81.63,69,0,13.8
109,Ancud,CL,2022-05-25 20:16:15,-41.8697,-73.8203,45.68,59,4,2.93
110,Nicoya,CR,2022-05-25 20:16:15,10.1483,-85.452,83.5,72,100,5.5
111,Hobyo,SO,2022-05-25 20:16:16,5.3505,48.5268,79.56,81,82,26.55
112,Santa Isabel Do Rio Negro,BR,2022-05-25 20:16:16,-0.4139,-65.0192,83.77,73,63,4.21
113,Keningau,MY,2022-05-25 20:16:16,5.3378,116.1602,71.56,99,100,0.4
114,Mahebourg,MU,2022-05-25 20:11:55,-20.4081,57.7,71.26,70,10,8.99
115,Vallenar,CL,2022-05-25 20:16:17,-28.5708,-70.7581,79.16,25,21,6.67
116,Botou,CN,2022-05-25 20:16:17,38.0667,116.5667,63.19,34,80,12.03
117,Sabang,ID,2022-05-25 20:16:17,5.8933,95.3214,83.46,73,78,8.75
118,Ribeira Grande,PT,2022-05-25 20:16:17,38.5167,-28.7,64.8,77,75,8.05
119,Karla,EE,2022-05-25 20:16:18,59.3723,24.9275,57.16,77,0,2.3
120,Narsaq,GL,2022-05-25 20:12:03,60.9167,-46.05,48.42,45,50,3.38
121,Itoman,JP,2022-05-25 20:15:50,26.1247,127.6694,75.58,100,75,9.22
122,Touros,BR,2022-05-25 20:15:48,-5.1989,-35.4608,79.16,79,88,9.01
123,Tilichiki,RU,2022-05-25 20:16:18,60.4667,166.1,36.75,83,100,4.92
124,Cambridge,CA,2022-05-25 20:13:27,43.3601,-80.3127,68.29,67,100,1.99
125,Aklavik,CA,2022-05-25 20:16:19,68.2191,-135.0107,44.22,62,96,2.93
126,Geraldton,AU,2022-05-25 20:16:19,-28.7667,114.6,59.41,82,100,6.91
127,Narasannapeta,IN,2022-05-25 20:16:19,18.4167,84.05,82.31,86,0,7.31
128,San Pedro,PH,2022-05-25 20:16:19,14.35,121.0167,81.36,89,20,1.14
129,Vostok,RU,2022-05-25 20:16:20,46.4856,135.8833,50.7,96,93,3.71
130,Cidreira,BR,2022-05-25 20:16:20,-30.1811,-50.2056,67.95,81,7,10.78
131,Kharopon,GR,2022-05-25 20:16:20,41.2667,23.3833,66.65,90,70,1.59
132,Minab,IR,2022-05-25 20:16:21,27.1467,57.0801,84.52,58,0,0.0
133,Tyrma,RU,2022-05-25 20:16:21,50.0833,132.1667,44.82,89,80,1.21
134,Bethel,US,2022-05-25 20:16:21,41.3712,-73.414,75.04,50,0,10.36
135,Hambantota,LK,2022-05-25 20:16:21,6.1241,81.1185,79.75,85,100,14.2
136,Qaanaaq,GL,2022-05-25 20:16:22,77.484,-69.3632,21.34,80,59,5.06
137,Port Elizabeth,ZA,2022-05-25 20:16:22,-33.918,25.5701,62.89,77,20,13.8
138,Port Hardy,CA,2022-05-25 20:17:22,50.6996,-127.4199,59.18,55,75,12.66
139,Bealanana,MG,2022-05-25 20:17:23,-14.55,48.7333,60.03,98,18,1.39
140,Salalah,OM,2022-05-25 20:17:23,17.0151,54.0924,84.29,79,20,4.61
141,Ponta Do Sol,PT,2022-05-25 20:17:23,32.6667,-17.1,68.72,67,100,4.88
142,Bajina Basta,RS,2022-05-25 20:17:24,43.9708,19.5675,66.15,74,1,3.0
143,Ulladulla,AU,2022-05-25 20:17:24,-35.35,150.4667,54.43,87,100,3.8
144,Thompson,CA,2022-05-25 20:16:49,55.7435,-97.8558,55.56,38,75,8.05
145,Yaring,TH,2022-05-25 20:17:24,6.8662,101.3689,78.26,87,100,8.52
146,Termiz,UZ,2022-05-25 20:17:24,37.2242,67.2783,77.09,29,0,0.0
147,Saint George,US,2022-05-25 20:14:17,37.1041,-113.5841,91.26,12,0,4.0
148,Altamira,BR,2022-05-25 20:17:25,-3.2033,-52.2064,87.89,62,20,2.3
149,Tuatapere,NZ,2022-05-25 20:17:25,-46.1333,167.6833,43.18,81,100,1.54
150,Dikson,RU,2022-05-25 20:17:25,73.5069,80.5464,18.27,94,63,2.91
151,Vila Velha,BR,2022-05-25 20:17:26,-20.3297,-40.2925,78.75,75,20,5.75
152,Coruripe,BR,2022-05-25 20:15:29,-10.1256,-36.1756,76.75,85,100,15.21
153,East London,ZA,2022-05-25 20:17:26,-33.0153,27.9116,63.95,74,3,14.67
154,Bayir,TR,2022-05-25 20:17:26,37.2687,28.2167,63.12,57,0,1.07
155,Lorengau,PG,2022-05-25 20:16:29,-2.0226,147.2712,79.3,81,100,1.5
156,San Andres,CO,2022-05-25 20:17:27,12.5847,-81.7006,82.42,83,75,9.22
157,Pevek,RU,2022-05-25 20:17:27,69.7008,170.3133,33.26,91,24,8.5
158,Kahului,US,2022-05-25 20:17:27,20.8947,-156.47,78.82,71,40,14.97
159,Bredasdorp,ZA,2022-05-25 20:17:27,-34.5322,20.0403,59.76,90,93,4.07
160,Azanka,RU,2022-05-25 20:17:28,58.0401,64.7893,61.59,80,98,6.69
161,Liusha,CN,2022-05-25 20:17:28,27.2098,108.59,66.9,99,100,3.33
162,Zhezkazgan,KZ,2022-05-25 20:17:28,47.8043,67.7144,73.08,27,0,9.98
163,George Town,MY,2022-05-25 20:14:47,5.4112,100.3354,80.53,83,20,0.0
164,Kununurra,AU,2022-05-25 20:17:28,-15.7667,128.7333,64.38,88,79,0.0
165,Broken Hill,AU,2022-05-25 20:17:29,-31.95,141.4333,57.69,74,91,4.29
166,Buraydah,SA,2022-05-25 20:17:29,26.326,43.975,88.25,15,25,13.78
167,Mitchell,US,2022-05-25 20:12:43,43.7094,-98.0298,57.11,72,100,12.66
168,Black River,JM,2022-05-25 20:17:29,18.0264,-77.8487,87.78,57,65,22.46
169,Taoudenni,ML,2022-05-25 20:15:53,22.6783,-3.9836,99.63,8,100,3.53
170,Esperance,AU,2022-05-25 20:17:30,-33.8667,121.9,57.79,82,100,7.2
171,Kavieng,PG,2022-05-25 20:17:30,-2.5744,150.7967,80.42,77,100,7.4
172,Tikapur,NP,2022-05-25 20:17:30,28.5,81.1333,78.06,42,0,4.99
173,Daru,PG,2022-05-25 20:17:30,-9.0763,143.2092,78.66,83,98,10.13
174,Price,US,2022-05-25 20:17:31,39.5994,-110.8107,75.11,14,0,3.44
175,Deyang,CN,2022-05-25 20:17:31,31.1302,104.382,69.6,84,100,0.96
176,Havelock,US,2022-05-25 20:13:18,34.8791,-76.9013,73.38,59,19,5.41
177,Bluff,NZ,2022-05-25 20:17:31,-46.6,168.3333,40.8,69,78,5.61
178,Tucupita,VE,2022-05-25 20:17:31,9.0622,-62.051,84.04,70,41,7.87
179,Aykhal,RU,2022-05-25 20:17:32,66.0,111.5,32.9,88,100,12.68
180,Hami,CN,2022-05-25 20:17:32,42.8,93.45,79.9,12,100,9.22
181,Airai,TL,2022-05-25 20:17:13,-8.9266,125.4092,58.64,94,100,2.55
182,Mar Del Plata,AR,2022-05-25 20:17:32,-38.0023,-57.5575,55.09,66,40,12.66
183,Teknaf,BD,2022-05-25 20:17:33,20.8624,92.3058,79.88,86,12,0.58
184,Sisimiut,GL,2022-05-25 20:17:33,66.9395,-53.6735,39.04,59,99,9.22
185,Ville-Marie,CA,2022-05-25 20:17:33,47.3335,-79.433,69.62,34,100,3.98
186,Paamiut,GL,2022-05-25 20:17:33,61.994,-49.6678,30.83,55,18,3.49
187,Beloha,MG,2022-05-25 20:18:34,-25.1667,45.05,67.77,90,0,2.93
188,Severo-Kurilsk,RU,2022-05-25 20:18:34,50.6789,156.125,39.97,96,100,8.37
189,Westport,US,2022-05-25 20:17:16,41.1415,-73.3579,75.43,59,0,10.36
190,Pochutla,MX,2022-05-25 20:18:34,15.7432,-96.4661,86.83,60,100,5.28
191,Lakes Entrance,AU,2022-05-25 20:18:35,-37.8811,147.981,51.31,68,100,3.96
192,Lufilufi,WS,2022-05-25 20:18:35,-13.8745,-171.5986,83.98,77,87,16.75
